"","ID","Gene.symbol"
"288","209514_s_at","RAB27A"
"289","209515_s_at","RAB27A"
"290","209576_at","GNAI1"
"291","209596_at","MXRA5"
"292","209612_s_at","ADH1B"
"293","209613_s_at","ADH1B"
"294","209644_x_at","CDKN2A"
"295","209687_at","CXCL12"
"296","209695_at","PTP4A3"
"297","209737_at","MAGI2"
"298","209757_s_at","MYCN"
"299","209792_s_at","KLK10"
"300","209810_at","SFTPB"
"301","209815_at","PTCH1"
"302","209822_s_at","VLDLR"
"303","209858_x_at","MPPE1"
"304","209990_s_at","GABBR2"
"305","210038_at","PRKCQ"
"306","210058_at","MAPK13"
"307","210059_s_at","MAPK13"
"308","210078_s_at","KCNAB1"
"309","210194_at","PLA2R1"
"310","210253_at","HTATIP2"
"311","210298_x_at","FHL1"
"312","210299_s_at","FHL1"
"313","210335_at","RASSF9"
"314","210342_s_at","TPO"
"315","210414_at","FLRT1"
"316","210432_s_at","SCN3A"
"317","210471_s_at","KCNAB1"
"318","210473_s_at","ADGRA3"
"319","210495_x_at","FN1"
"320","210512_s_at","VEGFA"
"321","210524_x_at",""
"322","210605_s_at","MFGE8"
"323","210652_s_at","TTC39A"
"324","210664_s_at","TFPI"
"325","210751_s_at","RGN"
"326","211071_s_at","MLLT11"
"327","211126_s_at","CSRP2"
"328","211163_s_at","TNFRSF10C"
"329","211276_at","TCEAL2"
"330","211343_s_at","COL13A1"
"331","211478_s_at","DPP4"
"332","211564_s_at","PDLIM4"
"333","211596_s_at","LRIG1"
"334","211603_s_at","ETV4"
"335","211653_x_at","LOC101930400///AKR1C2"
"336","211679_x_at","GABBR2"
"337","211696_x_at","HBB"
"338","211699_x_at","HBA2///HBA1"
"339","211719_x_at","FN1"
"340","211745_x_at","HBA2///HBA1"
"341","211890_x_at","CAPN3"
"342","212063_at","CD44"
"343","212071_s_at","SPTBN1"
"344","212110_at","SLC39A14"
"345","212157_at","SDC2"
"346","212158_at","SDC2"
"347","212209_at","MED13L"
"348","212221_x_at","IDS"
"349","212224_at","ALDH1A1"
"350","212236_x_at","KRT17///JUP"
"351","212285_s_at","AGRN"
"352","212286_at","ANKRD12"
"353","212312_at","BCL2L1"
"354","212314_at","SEL1L3"
"355","212327_at","LIMCH1"
"356","212372_at","MYH10"
"357","212385_at","TCF4"
"358","212464_s_at","FN1"
"359","212510_at","GPD1L"
"360","212516_at","ARAP1"
"361","212531_at","LCN2"
"362","212611_at","DTX4"
"363","212731_at","ANKRD46"
"364","212786_at","CLEC16A"
"365","212814_at","AHCYL2"
"366","212830_at","MEGF9"
"367","212843_at","NCAM1"
"368","212850_s_at","LRP4"
"369","212855_at","DCUN1D4"
"370","212895_s_at","ABR"
"371","212958_x_at","PAM"
